step,p0_heads,p1_heads
0,0.500000,0.500000
1,0.537430,0.537430
2,0.574443,0.494375
3,0.531832,0.531832
4,0.495219,0.563407
5,0.464123,0.589857
6,0.512574,0.626387
7,0.553608,0.656361
8,0.587944,0.680905
9,0.616484,0.701012
10,0.646148,0.652985
11,0.670517,0.609507
12,0.625235,0.631198
13,0.646559,0.593500
14,0.607080,0.612244
15,0.572362,0.627922
16,0.615258,0.665576
17,0.561628,0.609405
18,0.588877,0.570773
19,0.538461,0.519513
20,0.575769,0.560269
21,0.606119,0.520437
22,0.631297,0.486353
23,0.581402,0.442635
24,0.537595,0.406134
25,0.499870,0.375887
26,0.531973,0.419951
27,0.559064,0.458466
28,0.600813,0.417382
29,0.563314,0.391374
30,0.604327,0.358127
31,0.638092,0.330889
32,0.596072,0.310887
33,0.559184,0.294420
34,0.527290,0.280831
35,0.574437,0.260589
36,0.523203,0.310177
37,0.488747,0.290652
38,0.444961,0.338227
39,0.408377,0.381463
40,0.378043,0.419784
41,0.352980,0.453155
42,0.332288,0.481868
43,0.315191,0.506376
44,0.301039,0.527189
45,0.276965,0.469965
46,0.265807,0.496235
47,0.246822,0.443833
48,0.238014,0.473875
49,0.222997,0.425136
50,0.216012,0.457779
51,0.264304,0.510882
52,0.250082,0.538948
53,0.297034,0.583462
54,0.276826,0.606516
55,0.262649,0.553303
56,0.306567,0.590924
57,0.346921,0.622103
58,0.383074,0.647844
59,0.414873,0.669075
60,0.442483,0.686600
61,0.501930,0.634714
62,0.525870,0.658246
63,0.576046,0.608981
64,0.595810,0.637017
65,0.636586,0.589994
66,0.669791,0.548649
67,0.616919,0.576726
68,0.645920,0.541388
69,0.599893,0.565360
70,0.631418,0.608507
71,0.655717,0.572589
72,0.680823,0.614460
73,0.633585,0.561822
74,0.591262,0.515908
75,0.554164,0.476637
76,0.595942,0.438834
77,0.558234,0.406250
78,0.525627,0.379176
79,0.549561,0.420050
80,0.569730,0.455702
81,0.615162,0.412295
82,0.581547,0.389121
83,0.598376,0.425236
84,0.569487,0.405317
85,0.509723,0.461800
86,0.484454,0.436010
87,0.537892,0.394095
88,0.486785,0.445525
89,0.443518,0.490224
90,0.407378,0.528370
91,0.450031,0.566297
92,0.421019,0.524122
93,0.457487,0.556445
94,0.432710,0.520508
95,0.390575,0.564418
96,0.442707,0.517435
97,0.480470,0.552017
98,0.438084,0.588871
99,0.409402,0.546666
100,0.374819,0.584416
101,0.422756,0.539698
102,0.466336,0.575566
103,0.429292,0.607129
104,0.471995,0.636199
105,0.434030,0.661496
106,0.476189,0.616583
107,0.437645,0.566964
108,0.479307,0.525929
109,0.521707,0.565372
110,0.482790,0.595859
111,0.524666,0.627977
112,0.560074,0.583840
113,0.520971,0.609453
114,0.551132,0.571451
115,0.591783,0.611618
116,0.625399,0.644629
117,0.578262,0.595320
118,0.610232,0.551365
119,0.564892,0.507025
120,0.525447,0.469221
121,0.491648,0.437347
122,0.446850,0.484679
123,0.409411,0.525162
124,0.378377,0.559336
125,0.351731,0.513881
126,0.396044,0.550502
127,0.363331,0.585941
128,0.406356,0.615926
129,0.444123,0.640748
130,0.402987,0.668509
131,0.441190,0.688222
132,0.474238,0.704462
133,0.524759,0.653381
134,0.552885,0.675777
135,0.594898,0.627115
136,0.544999,0.651189
137,0.506653,0.601811
138,0.463418,0.630288
139,0.501547,0.657250
140,0.459105,0.679927
141,0.423465,0.698560
142,0.467175,0.719184
143,0.504756,0.736022
144,0.472087,0.689837
145,0.504043,0.705075
146,0.551071,0.653165
147,0.590372,0.605913
148,0.622913,0.564088
149,0.578811,0.516404
150,0.531618,0.550410
151,0.491020,0.578962
152,0.452059,0.529284
153,0.418110,0.561244
154,0.389839,0.588027
155,0.438359,0.624638
156,0.479813,0.584124
157,0.522322,0.621426
158,0.558227,0.652059
159,0.588288,0.677155
160,0.549555,0.630389
161,0.575264,0.652403
162,0.596806,0.670619
163,0.614831,0.685713
164,0.653248,0.631566
165,0.684424,0.582711
166,0.698117,0.612928
167,0.722731,0.566235
168,0.681310,0.522658
169,0.625824,0.560022
170,0.656070,0.519263
171,0.612443,0.476284
172,0.561919,0.514707
173,0.591849,0.554607
174,0.552707,0.512502
175,0.518894,0.476548
176,0.544847,0.510627
177,0.492123,0.554830
178,0.538148,0.509033
179,0.493305,0.546657
180,0.532443,0.507679
181,0.494309,0.539691
182,0.527588,0.506527
183,0.555695,0.478281
184,0.597220,0.529213
185,0.631475,0.572073
