iteration,p0_avg_heads,p0_avg_tails,p1_avg_heads,p1_avg_tails,p0_best_response,p1_best_response,full_exploitability
1,1.000000,0.000000,0.500000,0.500000,0,1,5.000000e-01
2,1.000000,0.000000,0.333333,0.666667,0,1,6.666667e-01
3,0.750000,0.250000,0.250000,0.750000,1,1,5.000000e-01
4,0.600000,0.400000,0.200000,0.800000,1,1,4.000000e-01
5,0.500000,0.500000,0.166667,0.833333,1,1,3.333333e-01
6,0.428571,0.571429,0.285714,0.714286,1,0,2.857143e-01
7,0.375000,0.625000,0.375000,0.625000,1,0,2.500000e-01
8,0.333333,0.666667,0.444444,0.555556,1,0,2.222222e-01
9,0.300000,0.700000,0.500000,0.500000,1,0,2.000000e-01
10,0.363636,0.636364,0.545455,0.454545,0,0,1.818182e-01
11,0.416667,0.583333,0.583333,0.416667,0,0,1.666667e-01
12,0.461538,0.538462,0.615385,0.384615,0,0,1.538462e-01
13,0.500000,0.500000,0.642857,0.357143,0,0,1.428571e-01
14,0.533333,0.466667,0.666667,0.333333,0,0,2.000000e-01
15,0.562500,0.437500,0.625000,0.375000,0,1,1.875000e-01
16,0.588235,0.411765,0.588235,0.411765,0,1,1.764706e-01
17,0.611111,0.388889,0.555556,0.444444,0,1,1.666667e-01
18,0.631579,0.368421,0.526316,0.473684,0,1,1.578947e-01
19,0.650000,0.350000,0.500000,0.500000,0,1,1.500000e-01
20,0.666667,0.333333,0.476190,0.523810,0,1,1.904762e-01
21,0.636364,0.363636,0.454545,0.545455,1,1,1.818182e-01
22,0.608696,0.391304,0.434783,0.565217,1,1,1.739130e-01
23,0.583333,0.416667,0.416667,0.583333,1,1,1.666667e-01
24,0.560000,0.440000,0.400000,0.600000,1,1,1.600000e-01
25,0.538462,0.461538,0.384615,0.615385,1,1,1.538462e-01
26,0.518519,0.481481,0.370370,0.629630,1,1,1.481481e-01
27,0.500000,0.500000,0.357143,0.642857,1,1,1.428571e-01
28,0.482759,0.517241,0.379310,0.620690,1,0,1.379310e-01
29,0.466667,0.533333,0.400000,0.600000,1,0,1.333333e-01
30,0.451613,0.548387,0.419355,0.580645,1,0,1.290323e-01
31,0.437500,0.562500,0.437500,0.562500,1,0,1.250000e-01
32,0.424242,0.575758,0.454545,0.545455,1,0,1.212121e-01
33,0.411765,0.588235,0.470588,0.529412,1,0,1.176471e-01
34,0.400000,0.600000,0.485714,0.514286,1,0,1.142857e-01
35,0.388889,0.611111,0.500000,0.500000,1,0,1.111111e-01
36,0.405405,0.594595,0.513514,0.486486,0,0,1.081081e-01
37,0.421053,0.578947,0.526316,0.473684,0,0,1.052632e-01
38,0.435897,0.564103,0.538462,0.461538,0,0,1.025641e-01
39,0.450000,0.550000,0.550000,0.450000,0,0,1.000000e-01
40,0.463415,0.536585,0.560976,0.439024,0,0,9.756098e-02
41,0.476190,0.523810,0.571429,0.428571,0,0,9.523810e-02
42,0.488372,0.511628,0.581395,0.418605,0,0,9.302326e-02
43,0.500000,0.500000,0.590909,0.409091,0,0,9.090909e-02
44,0.511111,0.488889,0.600000,0.400000,0,0,1.111111e-01
45,0.521739,0.478261,0.586957,0.413043,0,1,1.086957e-01
