iteration,p0_avg_rock,p0_avg_paper,p0_avg_scissors,p1_avg_rock,p1_avg_paper,p1_avg_scissors,p0_best_response,p1_best_response,full_exploitability
1,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,1,1,5.000000e-01
2,0.333333,0.666667,0.000000,0.333333,0.666667,0.000000,1,1,3.333333e-01
3,0.250000,0.750000,0.000000,0.250000,0.750000,0.000000,1,1,5.000000e-01
4,0.200000,0.600000,0.200000,0.200000,0.600000,0.200000,2,2,4.000000e-01
5,0.166667,0.500000,0.333333,0.166667,0.500000,0.333333,2,2,3.333333e-01
6,0.142857,0.428571,0.428571,0.142857,0.428571,0.428571,2,2,2.857143e-01
7,0.125000,0.375000,0.500000,0.125000,0.375000,0.500000,2,2,2.500000e-01
8,0.111111,0.333333,0.555556,0.111111,0.333333,0.555556,2,2,2.222222e-01
9,0.200000,0.300000,0.500000,0.200000,0.300000,0.500000,0,0,2.000000e-01
10,0.272727,0.272727,0.454545,0.272727,0.272727,0.454545,0,0,1.818182e-01
11,0.333333,0.250000,0.416667,0.333333,0.250000,0.416667,0,0,1.666667e-01
12,0.384615,0.230769,0.384615,0.384615,0.230769,0.384615,0,0,1.538462e-01
13,0.428571,0.214286,0.357143,0.428571,0.214286,0.357143,0,0,1.428571e-01
14,0.466667,0.200000,0.333333,0.466667,0.200000,0.333333,0,0,1.333333e-01
15,0.437500,0.250000,0.312500,0.437500,0.250000,0.312500,1,1,1.250000e-01
16,0.411765,0.294118,0.294118,0.411765,0.294118,0.294118,1,1,1.176471e-01
17,0.388889,0.333333,0.277778,0.388889,0.333333,0.277778,1,1,1.111111e-01
18,0.368421,0.368421,0.263158,0.368421,0.368421,0.263158,1,1,1.052632e-01
19,0.350000,0.400000,0.250000,0.350000,0.400000,0.250000,1,1,1.000000e-01
20,0.333333,0.428571,0.238095,0.333333,0.428571,0.238095,1,1,9.523810e-02
21,0.318182,0.454545,0.227273,0.318182,0.454545,0.227273,1,1,1.363636e-01
