iteration,p0_a1,p0_a2,p0_a3,p1_a1,p1_a2,p1_a3,br_p0,br_p1,full_exploitability
0,1.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0,1,0.250000
1,1.000000,0.000000,0.000000,0.333333,0.666667,0.000000,0,1,0.333333
2,0.750000,0.250000,0.000000,0.250000,0.750000,0.000000,1,1,0.281250
3,0.600000,0.400000,0.000000,0.200000,0.800000,0.000000,1,1,0.240000
4,0.500000,0.500000,0.000000,0.166667,0.833333,0.000000,1,1,0.208333
5,0.428571,0.571429,0.000000,0.142857,0.857143,0.000000,1,1,0.255102
6,0.375000,0.625000,0.000000,0.125000,0.750000,0.125000,1,2,0.250000
7,0.333333,0.666667,0.000000,0.111111,0.666667,0.222222,1,2,0.240741
8,0.300000,0.700000,0.000000,0.100000,0.600000,0.300000,1,2,0.230000
9,0.272727,0.727273,0.000000,0.090909,0.545455,0.363636,1,2,0.219008
10,0.250000,0.750000,0.000000,0.083333,0.500000,0.416667,1,2,0.208333
11,0.230769,0.769231,0.000000,0.076923,0.461538,0.461538,1,2,0.198225
12,0.214286,0.785714,0.000000,0.071429,0.428571,0.500000,1,2,0.224490
13,0.200000,0.733333,0.066667,0.066667,0.400000,0.533333,2,2,0.224444
14,0.187500,0.687500,0.125000,0.062500,0.375000,0.562500,2,2,0.222656
15,0.176471,0.647059,0.176471,0.058824,0.352941,0.588235,2,2,0.219723
16,0.166667,0.611111,0.222222,0.055556,0.333333,0.611111,2,2,0.216049
17,0.157895,0.578947,0.263158,0.052632,0.315789,0.631579,2,2,0.211911
18,0.150000,0.550000,0.300000,0.050000,0.300000,0.650000,2,2,0.207500
19,0.142857,0.523810,0.333333,0.047619,0.285714,0.666667,2,2,0.202948
20,0.136364,0.500000,0.363636,0.045455,0.272727,0.681818,2,2,0.198347
21,0.130435,0.478261,0.391304,0.043478,0.260870,0.695652,2,2,0.193762
22,0.125000,0.458333,0.416667,0.041667,0.250000,0.708333,2,2,0.189236
23,0.120000,0.440000,0.440000,0.040000,0.240000,0.720000,2,2,0.184800
24,0.115385,0.423077,0.461538,0.076923,0.230769,0.692308,2,0,0.186391
25,0.111111,0.407407,0.481481,0.111111,0.222222,0.666667,2,0,0.187243
26,0.107143,0.392857,0.500000,0.142857,0.214286,0.642857,2,0,0.187500
27,0.103448,0.379310,0.517241,0.172414,0.206897,0.620690,2,0,0.187277
28,0.100000,0.366667,0.533333,0.200000,0.200000,0.600000,2,0,0.186667
29,0.096774,0.354839,0.548387,0.225806,0.193548,0.580645,2,0,0.185744
30,0.093750,0.343750,0.562500,0.250000,0.187500,0.562500,2,0,0.184570
31,0.090909,0.333333,0.575758,0.272727,0.181818,0.545455,2,0,0.183196
32,0.088235,0.323529,0.588235,0.294118,0.176471,0.529412,2,0,0.181661
33,0.085714,0.314286,0.600000,0.314286,0.171429,0.514286,2,0,0.180000
34,0.083333,0.305556,0.611111,0.333333,0.166667,0.500000,2,0,0.178241
35,0.081081,0.297297,0.621622,0.351351,0.162162,0.486486,2,0,0.176406
36,0.078947,0.289474,0.631579,0.368421,0.157895,0.473684,2,0,0.174515
37,0.076923,0.282051,0.641026,0.384615,0.153846,0.461538,2,0,0.172584
38,0.075000,0.275000,0.650000,0.400000,0.150000,0.450000,2,0,0.170625
39,0.073171,0.268293,0.658537,0.414634,0.146341,0.439024,2,0,0.168650
40,0.071429,0.261905,0.666667,0.428571,0.142857,0.428571,2,0,0.166667
41,0.093023,0.255814,0.651163,0.441860,0.139535,0.418605,0,0,0.167929
42,0.113636,0.250000,0.636364,0.454545,0.136364,0.409091,0,0,0.168905
43,0.133333,0.244444,0.622222,0.466667,0.133333,0.400000,0,0,0.169630
44,0.152174,0.239130,0.608696,0.478261,0.130435,0.391304,0,0,0.170132
45,0.170213,0.234043,0.595745,0.489362,0.127660,0.382979,0,0,0.170439
46,0.187500,0.229167,0.583333,0.500000,0.125000,0.375000,0,0,0.170573
47,0.204082,0.224490,0.571429,0.510204,0.122449,0.367347,0,0,0.170554
48,0.220000,0.220000,0.560000,0.520000,0.120000,0.360000,0,0,0.170400
49,0.235294,0.215686,0.549020,0.529412,0.117647,0.352941,0,0,0.170127
50,0.250000,0.211538,0.538462,0.538462,0.115385,0.346154,0,0,0.169749
51,0.264151,0.207547,0.528302,0.547170,0.113208,0.339623,0,0,0.169277
52,0.277778,0.203704,0.518519,0.555556,0.111111,0.333333,0,0,0.168724
