game_size,seed,converged,converged_iteration,population_size,full_exploitability,runtime_s
10,0,1,10,11,1.804e-16,0.040
10,1,1,7,8,1.804e-16,0.036
10,2,1,7,8,1.874e-16,0.037
10,3,1,5,6,9.368e-17,0.036
10,4,1,6,7,3.053e-16,0.039
25,0,1,20,21,4.476e-16,0.075
25,1,1,19,20,9.298e-16,0.076
25,2,1,17,18,8.049e-16,0.081
25,3,1,16,17,5.412e-16,0.077
25,4,1,17,18,7.806e-16,0.074
50,0,1,35,36,1.464e-15,0.174
50,1,1,35,36,2.942e-15,0.185
50,2,1,34,35,9.159e-16,0.202
50,3,1,39,40,2.130e-15,0.184
50,4,1,33,34,7.997e-16,0.209
100,0,1,61,62,2.271e-15,1.566
100,1,1,68,69,2.547e-15,3.084
100,2,1,68,69,1.972e-15,3.156
100,3,1,69,70,2.456e-15,3.111
100,4,1,65,66,1.416e-15,3.295
250,0,1,167,168,9.147e-15,35.720
250,1,1,170,171,7.120e-15,33.968
250,2,1,169,170,2.720e-15,33.784
250,3,1,159,160,3.891e-15,33.410
250,4,1,161,162,3.611e-15,34.815
500,0,1,326,327,3.384e-14,348.352
500,1,1,311,312,1.122e-13,352.028
500,2,1,320,321,7.056e-15,324.681
500,3,1,346,347,4.476e-15,341.460
500,4,1,329,330,5.781e-15,342.691
