noise_std,episodes_per_profile,iteration,restricted_exploitability,full_exploitability
0.0,100,0,0.000e+00,1.940e+00
0.0,100,1,0.000e+00,2.345e+00
0.0,100,2,4.337e-17,1.423e+00
0.0,100,3,5.551e-17,1.865e+00
0.0,100,4,1.804e-16,1.375e+00
0.0,100,5,7.772e-16,1.059e+00
0.0,100,6,1.665e-16,1.624e+00
0.0,100,7,9.714e-17,9.931e-01
0.0,100,8,4.337e-16,1.284e+00
0.0,100,9,6.245e-16,8.816e-01
0.0,100,10,3.192e-16,9.294e-01
0.0,100,11,1.249e-16,5.796e-01
0.0,100,12,2.090e-16,7.052e-01
0.0,100,13,6.384e-16,6.657e-01
0.0,100,14,5.725e-16,9.277e-01
0.0,100,15,9.714e-16,9.378e-01
0.0,100,16,6.072e-16,5.493e-01
0.0,100,17,5.898e-16,5.342e-01
0.0,100,18,4.718e-16,5.725e-01
0.0,100,19,5.898e-16,5.669e-01
0.0,100,20,7.253e-15,3.480e-01
0.0,100,21,7.563e-16,5.430e-01
0.0,100,22,3.025e-15,5.393e-01
0.0,100,23,1.443e-15,2.812e-01
0.0,100,24,8.483e-16,3.613e-01
0.0,100,25,4.455e-15,2.436e-01
0.0,100,26,2.479e-15,2.761e-01
0.0,100,27,9.714e-16,2.568e-01
0.0,100,28,1.976e-15,1.644e-01
0.0,100,29,1.240e-15,1.037e-01
0.0,100,30,1.335e-14,1.716e-01
0.0,100,31,1.877e-15,1.665e-01
0.0,100,32,6.731e-16,4.997e-02
0.0,100,33,2.475e-15,2.712e-02
0.0,100,34,1.294e-15,1.066e-02
0.0,100,35,1.473e-15,1.464e-15
0.0,100,36,1.558e-15,1.551e-15
0.0,100,37,1.558e-15,1.551e-15
0.0,100,38,1.558e-15,1.551e-15
0.0,100,39,1.561e-15,1.565e-15
0.5,100,0,0.000e+00,1.940e+00
0.5,100,1,0.000e+00,2.345e+00
0.5,100,2,1.769e-02,1.420e+00
0.5,100,3,7.840e-03,1.869e+00
0.5,100,4,2.631e-02,1.366e+00
0.5,100,5,2.156e-02,1.061e+00
0.5,100,6,2.521e-02,1.601e+00
0.5,100,7,3.075e-02,1.003e+00
0.5,100,8,1.134e-02,1.277e+00
0.5,100,9,2.604e-02,7.165e-01
0.5,100,10,4.015e-02,1.212e+00
0.5,100,11,3.971e-02,8.463e-01
0.5,100,12,2.674e-02,7.208e-01
0.5,100,13,2.677e-02,7.085e-01
0.5,100,14,1.781e-02,5.873e-01
0.5,100,15,2.250e-02,5.136e-01
0.5,100,16,2.168e-02,6.800e-01
0.5,100,17,2.537e-02,4.100e-01
0.5,100,18,2.185e-02,5.012e-01
0.5,100,19,2.227e-02,4.437e-01
0.5,100,20,1.867e-02,4.024e-01
0.5,100,21,1.892e-02,2.823e-01
0.5,100,22,1.478e-02,3.675e-01
0.5,100,23,1.556e-02,2.365e-01
0.5,100,24,2.197e-02,2.934e-01
0.5,100,25,1.513e-02,2.788e-01
0.5,100,26,1.904e-02,2.516e-01
0.5,100,27,1.450e-02,1.714e-01
0.5,100,28,1.773e-02,2.622e-01
0.5,100,29,1.618e-02,3.120e-01
0.5,100,30,1.399e-02,1.388e-01
0.5,100,31,1.264e-02,1.891e-01
0.5,100,32,1.278e-02,1.107e-01
0.5,100,33,1.040e-02,7.552e-02
0.5,100,34,1.271e-02,3.114e-02
0.5,100,35,1.150e-02,5.176e-02
0.5,100,36,1.271e-02,1.458e-02
0.5,100,37,1.370e-02,1.826e-02
0.5,100,38,1.565e-02,1.963e-02
0.5,100,39,1.754e-02,1.560e-02
2.0,100,0,0.000e+00,1.940e+00
2.0,100,1,0.000e+00,2.345e+00
2.0,100,2,9.856e-02,1.094e+00
2.0,100,3,2.306e-02,1.732e+00
2.0,100,4,9.817e-02,1.373e+00
2.0,100,5,1.473e-01,1.064e+00
2.0,100,6,1.290e-01,9.791e-01
2.0,100,7,8.687e-02,8.848e-01
2.0,100,8,9.478e-02,1.044e+00
2.0,100,9,1.282e-01,7.708e-01
2.0,100,10,1.658e-01,1.282e+00
2.0,100,11,1.546e-01,1.198e+00
2.0,100,12,6.676e-02,6.830e-01
2.0,100,13,1.109e-01,5.287e-01
2.0,100,14,6.689e-02,6.349e-01
2.0,100,15,1.106e-01,5.188e-01
2.0,100,16,5.573e-02,7.100e-01
2.0,100,17,7.378e-02,6.575e-01
2.0,100,18,8.441e-02,9.195e-01
2.0,100,19,7.254e-02,3.887e-01
2.0,100,20,9.299e-02,4.831e-01
2.0,100,21,4.706e-02,6.154e-01
2.0,100,22,9.014e-02,5.287e-01
2.0,100,23,9.903e-02,4.001e-01
2.0,100,24,9.223e-02,4.123e-01
2.0,100,25,5.993e-02,3.089e-01
2.0,100,26,8.325e-02,3.476e-01
2.0,100,27,4.914e-02,1.643e-01
2.0,100,28,5.260e-02,1.786e-01
2.0,100,29,5.151e-02,2.462e-01
2.0,100,30,6.565e-02,1.772e-01
2.0,100,31,4.358e-02,9.047e-02
2.0,100,32,4.765e-02,7.314e-02
2.0,100,33,5.636e-02,7.026e-02
2.0,100,34,4.901e-02,6.194e-02
2.0,100,35,5.618e-02,5.610e-02
2.0,100,36,5.855e-02,4.431e-02
2.0,100,37,5.233e-02,4.824e-02
2.0,100,38,6.541e-02,4.446e-02
2.0,100,39,4.496e-02,1.335e-01
