oracle,n_episodes,seed,target_player,br_value,exact_br_value,value_gap,wall_clock_s
ppo,500,1,0,-0.185154,0.102273,0.287427,6.0
ppo,500,2,0,-0.148621,0.102273,0.250894,6.3
ppo,500,4,0,-0.162287,0.102273,0.264560,6.4
ppo,500,0,0,-0.176533,0.102273,0.278806,6.4
ppo,500,3,0,-0.175804,0.102273,0.278077,6.4
ppo,2000,1,0,-0.142463,0.102273,0.244736,7.3
ppo,2000,2,0,-0.108173,0.102273,0.210446,7.4
ppo,2000,4,0,-0.108637,0.102273,0.210910,7.5
ppo,2000,3,0,-0.130717,0.102273,0.232990,7.5
ppo,2000,0,0,-0.130951,0.102273,0.233224,7.5
tabular_q,500,0,0,0.036604,0.102273,0.065669,0.2
tabular_q,500,1,0,0.102273,0.102273,0.000000,0.2
tabular_q,500,2,0,0.099878,0.102273,0.002395,0.2
tabular_q,500,3,0,-0.012534,0.102273,0.114807,0.2
tabular_q,500,4,0,-0.012534,0.102273,0.114807,0.2
ppo,5000,2,0,-0.062325,0.102273,0.164598,9.5
ppo,5000,1,0,-0.086381,0.102273,0.188654,9.6
ppo,5000,0,0,-0.086042,0.102273,0.188315,9.7
tabular_q,2000,0,0,0.053135,0.102273,0.049138,0.9
ppo,5000,3,0,-0.079680,0.102273,0.181953,9.7
ppo,5000,4,0,-0.082822,0.102273,0.185095,9.8
tabular_q,2000,1,0,0.102273,0.102273,0.000000,0.9
tabular_q,2000,2,0,0.102273,0.102273,0.000000,0.9
tabular_q,2000,3,0,0.102273,0.102273,0.000000,0.9
tabular_q,2000,4,0,0.053135,0.102273,0.049138,0.9
tabular_q,5000,0,0,0.053135,0.102273,0.049138,2.3
tabular_q,5000,1,0,0.053135,0.102273,0.049138,2.3
tabular_q,5000,3,0,0.053135,0.102273,0.049138,2.2
tabular_q,5000,2,0,0.102273,0.102273,0.000000,2.3
tabular_q,5000,4,0,0.053135,0.102273,0.049138,2.3
tabular_q,20000,0,0,0.053135,0.102273,0.049138,9.1
ppo,20000,0,0,-0.036483,0.102273,0.138756,21.0
ppo,20000,2,0,-0.017461,0.102273,0.119734,14.8
tabular_q,20000,1,0,0.053135,0.102273,0.049138,9.0
tabular_q,20000,2,0,0.053135,0.102273,0.049138,9.0
tabular_q,20000,3,0,0.053135,0.102273,0.049138,8.9
ppo,20000,3,0,-0.024436,0.102273,0.126709,15.4
ppo,20000,1,0,-0.038409,0.102273,0.140682,16.0
tabular_q,20000,4,0,0.053135,0.102273,0.049138,9.0
ppo,20000,4,0,-0.042063,0.102273,0.144336,19.4
tabular_q,80000,0,0,0.053135,0.102273,0.049138,36.6
tabular_q,80000,1,0,0.102273,0.102273,0.000000,36.1
tabular_q,80000,3,0,0.053135,0.102273,0.049138,35.6
tabular_q,80000,4,0,0.053135,0.102273,0.049138,35.7
tabular_q,80000,2,0,0.053135,0.102273,0.049138,35.8
ppo,80000,1,0,-0.018163,0.102273,0.120436,56.8
ppo,80000,0,0,-0.018800,0.102273,0.121073,58.5
ppo,80000,2,0,-0.002089,0.102273,0.104362,58.1
ppo,80000,4,0,0.034663,0.102273,0.067610,61.6
ppo,80000,3,0,-0.014332,0.102273,0.116605,66.5
