oracle,iterations,oracle_episodes,total_episodes,seed,final_full_exploitability,trace,wall_clock_s
ppo,6,50000,300000,0,0.059007,0:0.458333;1:0.331282;2:0.166908;3:0.123258;4:0.071050;5:0.059007,532.8
ppo,15,20000,300000,0,0.129958,0:0.458333;1:0.303141;2:0.154153;3:0.172668;4:0.144347;5:0.097720;6:0.140841;7:0.143987;8:0.136969;9:0.127465;10:0.159176;11:0.138905;12:0.134271;13:0.134271;14:0.129958,801.6
ppo,15,20000,300000,2,0.105006,0:0.458333;1:0.311136;2:0.150277;3:0.096358;4:0.108948;5:0.105124;6:0.105124;7:0.105124;8:0.105124;9:0.104609;10:0.103775;11:0.102727;12:0.102727;13:0.102727;14:0.105006,806.0
ppo,15,20000,300000,4,0.116359,0:0.458333;1:0.280391;2:0.187507;3:0.116580;4:0.125516;5:0.114513;6:0.119957;7:0.113909;8:0.110537;9:0.110793;10:0.100200;11:0.113507;12:0.117732;13:0.117732;14:0.116359,809.2
ppo,15,20000,300000,1,0.108778,0:0.458333;1:0.299519;2:0.151489;3:0.167725;4:0.149110;5:0.139039;6:0.127890;7:0.128593;8:0.114242;9:0.120437;10:0.125389;11:0.108778;12:0.108778;13:0.108778;14:0.108778,811.9
ppo,15,20000,300000,3,0.112857,0:0.458333;1:0.299956;2:0.148493;3:0.168547;4:0.129473;5:0.101270;6:0.133872;7:0.136360;8:0.139548;9:0.169016;10:0.169596;11:0.169596;12:0.169596;13:0.112857;14:0.112857,815.1
ppo,6,50000,300000,1,0.056272,0:0.458333;1:0.329323;2:0.165706;3:0.148835;4:0.072325;5:0.056272,526.5
ppo,3,100000,300000,0,0.166589,0:0.458333;1:0.333202;2:0.166589,458.6
ppo,3,100000,300000,1,0.166443,0:0.458333;1:0.332744;2:0.166443,460.9
ppo,6,50000,300000,2,0.078622,0:0.458333;1:0.330011;2:0.165639;3:0.107312;4:0.108301;5:0.078622,535.1
ppo,6,50000,300000,3,0.055403,0:0.458333;1:0.331626;2:0.166264;3:0.128215;4:0.067559;5:0.055403,535.1
ppo,6,50000,300000,4,0.060725,0:0.458333;1:0.330535;2:0.166149;3:0.087862;4:0.080896;5:0.060725,533.1
ppo,3,100000,300000,2,0.166613,0:0.458333;1:0.332899;2:0.166613,466.2
ppo,30,10000,300000,0,0.117838,0:0.458333;1:0.311788;2:0.226489;3:0.139236;4:0.142348;5:0.115433;6:0.115433;7:0.115433;8:0.115433;9:0.115433;10:0.115433;11:0.115433;12:0.115433;13:0.122797;14:0.122797;15:0.122797;16:0.122797;17:0.122797;18:0.122797;19:0.116525;20:0.116525;21:0.116525;22:0.116525;23:0.116525;24:0.116525;25:0.117838;26:0.117838;27:0.117838;28:0.117838;29:0.117838,1710.7
ppo,3,100000,300000,3,0.166501,0:0.458333;1:0.333177;2:0.166501,454.2
ppo,30,10000,300000,1,0.141741,0:0.458333;1:0.307609;2:0.221131;3:0.149057;4:0.140710;5:0.195490;6:0.178728;7:0.178728;8:0.173142;9:0.169646;10:0.161913;11:0.161913;12:0.149147;13:0.150776;14:0.150776;15:0.141211;16:0.141211;17:0.141211;18:0.155787;19:0.155787;20:0.155787;21:0.155787;22:0.153748;23:0.153748;24:0.153748;25:0.141741;26:0.141741;27:0.141741;28:0.141741;29:0.141741,1724.9
ppo,30,10000,300000,2,0.138138,0:0.458333;1:0.317075;2:0.193733;3:0.155139;4:0.125726;5:0.123188;6:0.123188;7:0.123188;8:0.121738;9:0.123409;10:0.123409;11:0.123409;12:0.123409;13:0.123409;14:0.122614;15:0.122614;16:0.122997;17:0.122997;18:0.122997;19:0.138138;20:0.138138;21:0.138138;22:0.138138;23:0.138138;24:0.138138;25:0.138138;26:0.138138;27:0.138138;28:0.138138;29:0.138138,1730.2
ppo,3,100000,300000,4,0.166628,0:0.458333;1:0.333035;2:0.166628,463.8
ppo,30,10000,300000,3,0.169138,0:0.458333;1:0.308889;2:0.210936;3:0.141249;4:0.176389;5:0.195516;6:0.154374;7:0.154374;8:0.146850;9:0.211065;10:0.215643;11:0.199895;12:0.199884;13:0.182090;14:0.193051;15:0.192948;16:0.192948;17:0.192948;18:0.192417;19:0.192417;20:0.185678;21:0.185678;22:0.185678;23:0.185678;24:0.185678;25:0.185678;26:0.185678;27:0.189662;28:0.189662;29:0.169138,1752.8
ppo,30,10000,300000,4,0.120842,0:0.458333;1:0.286857;2:0.180406;3:0.170894;4:0.156353;5:0.125648;6:0.129510;7:0.120156;8:0.119864;9:0.124027;10:0.116340;11:0.116340;12:0.126025;13:0.126025;14:0.126025;15:0.126025;16:0.121130;17:0.121130;18:0.121130;19:0.132075;20:0.132075;21:0.132075;22:0.124688;23:0.124688;24:0.124688;25:0.124688;26:0.124688;27:0.123468;28:0.120842;29:0.120842,1802.6
tabular_q,15,20000,300000,0,0.019874,0:0.458333;1:0.291667;2:0.250000;3:0.152438;4:0.114423;5:0.114758;6:0.083330;7:0.083330;8:0.074712;9:0.006773;10:0.013654;11:0.013654;12:0.013654;13:0.019874;14:0.019874,128.3
tabular_q,30,10000,300000,1,0.028240,0:0.458333;1:0.250000;2:0.216447;3:0.125428;4:0.180062;5:0.094221;6:0.126973;7:0.068812;8:0.035841;9:0.035841;10:0.035841;11:0.034476;12:0.034476;13:0.030730;14:0.035373;15:0.035232;16:0.035232;17:0.028024;18:0.028833;19:0.030671;20:0.017903;21:0.016436;22:0.016436;23:0.016436;24:0.016436;25:0.028556;26:0.028556;27:0.028556;28:0.028240;29:0.028240,237.3
tabular_q,30,10000,300000,0,0.022485,0:0.458333;1:0.250000;2:0.250000;3:0.185848;4:0.122056;5:0.105208;6:0.132605;7:0.070688;8:0.058532;9:0.049540;10:0.049344;11:0.049344;12:0.043809;13:0.047675;14:0.048623;15:0.048623;16:0.048623;17:0.047034;18:0.047245;19:0.021535;20:0.023058;21:0.023058;22:0.027221;23:0.027221;24:0.033682;25:0.022330;26:0.022330;27:0.022330;28:0.021890;29:0.022485,241.2
tabular_q,30,10000,300000,2,0.036482,0:0.458333;1:0.166667;2:0.154407;3:0.097730;4:0.101663;5:0.056753;6:0.078530;7:0.064739;8:0.026967;9:0.041127;10:0.078126;11:0.039307;12:0.044638;13:0.056284;14:0.056284;15:0.059182;16:0.080086;17:0.047094;18:0.064680;19:0.116872;20:0.086479;21:0.085392;22:0.085392;23:0.028365;24:0.036761;25:0.036761;26:0.036482;27:0.036482;28:0.036482;29:0.036482,238.7
tabular_q,30,10000,300000,3,0.021982,0:0.458333;1:0.250000;2:0.219324;3:0.123793;4:0.154600;5:0.082271;6:0.040478;7:0.097772;8:0.061968;9:0.061968;10:0.056719;11:0.056719;12:0.052490;13:0.050789;14:0.050434;15:0.050434;16:0.029265;17:0.027015;18:0.027015;19:0.027015;20:0.027015;21:0.031189;22:0.022129;23:0.024518;24:0.026569;25:0.023600;26:0.022203;27:0.023308;28:0.023308;29:0.021982,243.0
