meta_solver,oracle,seed,iteration,full_exploitability,runtime_s
uniform,tabular_q,0,0,0.458333,141.5
uniform,tabular_q,0,1,0.250000,141.5
uniform,tabular_q,0,2,0.166667,141.5
uniform,tabular_q,0,3,0.166667,141.5
uniform,tabular_q,0,4,0.166667,141.5
uniform,tabular_q,0,5,0.111111,141.5
uniform,tabular_q,0,6,0.119048,141.5
uniform,tabular_q,0,7,0.125000,141.5
uniform,tabular_q,0,8,0.120370,141.5
uniform,tabular_q,0,9,0.100000,141.5
uniform,tabular_q,0,10,0.098485,141.5
uniform,tabular_q,0,11,0.104167,141.5
uniform,tabular_q,0,12,0.102564,141.5
uniform,tabular_q,0,13,0.107143,141.5
uniform,tabular_q,0,14,0.111111,141.5
uniform,tabular_q,1,0,0.458333,144.4
uniform,tabular_q,1,1,0.187500,144.4
uniform,tabular_q,1,2,0.138889,144.4
uniform,tabular_q,1,3,0.125000,144.4
uniform,tabular_q,1,4,0.133333,144.4
uniform,tabular_q,1,5,0.097222,144.4
uniform,tabular_q,1,6,0.130952,144.4
uniform,tabular_q,1,7,0.135417,144.4
uniform,tabular_q,1,8,0.120370,144.4
uniform,tabular_q,1,9,0.116667,144.4
uniform,tabular_q,1,10,0.128788,144.4
uniform,tabular_q,1,11,0.125000,144.4
uniform,tabular_q,1,12,0.115385,144.4
uniform,tabular_q,1,13,0.107143,144.4
uniform,tabular_q,1,14,0.105556,144.4
uniform,tabular_q,2,0,0.458333,141.3
uniform,tabular_q,2,1,0.187500,141.3
uniform,tabular_q,2,2,0.125000,141.3
uniform,tabular_q,2,3,0.125000,141.3
uniform,tabular_q,2,4,0.133333,141.3
uniform,tabular_q,2,5,0.138889,141.3
uniform,tabular_q,2,6,0.119048,141.3
uniform,tabular_q,2,7,0.114583,141.3
uniform,tabular_q,2,8,0.120370,141.3
uniform,tabular_q,2,9,0.108333,141.3
uniform,tabular_q,2,10,0.106061,141.3
uniform,tabular_q,2,11,0.118056,141.3
uniform,tabular_q,2,12,0.121795,141.3
uniform,tabular_q,2,13,0.125000,141.3
uniform,tabular_q,2,14,0.116667,141.3
nash,tabular_q,0,0,0.458333,139.4
nash,tabular_q,0,1,0.291667,139.4
nash,tabular_q,0,2,0.250000,139.4
nash,tabular_q,0,3,0.152438,139.4
nash,tabular_q,0,4,0.114423,139.4
nash,tabular_q,0,5,0.114758,139.4
nash,tabular_q,0,6,0.083330,139.4
nash,tabular_q,0,7,0.083330,139.4
nash,tabular_q,0,8,0.074712,139.4
nash,tabular_q,0,9,0.006773,139.4
nash,tabular_q,0,10,0.013654,139.4
nash,tabular_q,0,11,0.013654,139.4
nash,tabular_q,0,12,0.013654,139.4
nash,tabular_q,0,13,0.019874,139.4
nash,tabular_q,0,14,0.019874,139.4
nash,tabular_q,1,0,0.458333,138.6
nash,tabular_q,1,1,0.166667,138.6
nash,tabular_q,1,2,0.221376,138.6
nash,tabular_q,1,3,0.193231,138.6
nash,tabular_q,1,4,0.269910,138.6
nash,tabular_q,1,5,0.208724,138.6
nash,tabular_q,1,6,0.101400,138.6
nash,tabular_q,1,7,0.115053,138.6
nash,tabular_q,1,8,0.112350,138.6
nash,tabular_q,1,9,0.105816,138.6
nash,tabular_q,1,10,0.108566,138.6
nash,tabular_q,1,11,0.105367,138.6
nash,tabular_q,1,12,0.105367,138.6
nash,tabular_q,1,13,0.105367,138.6
nash,tabular_q,1,14,0.047057,138.6
nash,tabular_q,2,0,0.458333,110.9
nash,tabular_q,2,1,0.166667,110.9
nash,tabular_q,2,2,0.212928,110.9
nash,tabular_q,2,3,0.185490,110.9
nash,tabular_q,2,4,0.169473,110.9
nash,tabular_q,2,5,0.021536,110.9
nash,tabular_q,2,6,0.021536,110.9
nash,tabular_q,2,7,0.025052,110.9
nash,tabular_q,2,8,0.124138,110.9
nash,tabular_q,2,9,0.102517,110.9
nash,tabular_q,2,10,0.102517,110.9
nash,tabular_q,2,11,0.129394,110.9
