iteration,population_sizes,support_size_p0,entropy_bits_p0,newest_member_mass_p0,support_size_p1,entropy_bits_p1,newest_member_mass_p1,full_exploitability,elapsed_s,newest_value_p0,incumbent_value_p0,br_margin_p0,newest_value_p1,incumbent_value_p1,br_margin_p1
0,"[2, 2]",1,-0.0,nan,1,-0.0,nan,2.373611111111111,224.18322317593265,,,,,,
1,"[3, 3]",1,-0.0,1.0,1,-0.0,1.0,2.6337997845194887,595.5308403639356,-0.072,-0.072,0.0,0.072,0.072,0.0
2,"[4, 4]",1,-0.0,1.0,1,-0.0,1.0,1.2906771025296522,872.5701188179664,-0.087,-0.087,0.0,0.087,0.087,0.0
3,"[5, 5]",1,-0.0,1.0,1,-0.0,1.0,2.4402892865929697,1181.5829368960112,-0.118,-0.118,0.0,0.118,0.118,0.0
4,"[6, 6]",2,0.9997108332605595,0.5100105374077977,2,0.6593172768717932,0.17070600632244465,1.3320806838981947,1516.1063961519394,0.17551317175974704,0.17551317175974712,-8.326672684688674e-17,-0.17551317175974712,-0.17551317175974712,0.0
5,"[7, 7]",1,-0.0,1.0,1,-0.0,1.0,1.2925963858723666,1797.572004652,-0.057,-0.057,0.0,0.057,0.057,0.0
6,"[8, 8]",4,1.9262269039550257,0.3899855205676343,4,1.5669217886632762,0.2924152889527897,1.0331257820410842,2073.279414398945,-0.051687215291885996,-0.05168721529188597,-2.7755575615628914e-17,0.05168721529188603,0.05168721529188597,6.245004513516506e-17
7,"[9, 9]",3,1.3326234306236215,0.38497307150550986,3,1.532197089458501,0.4244759300687712,1.0426336573892567,2361.3573748209747,-0.014704323473361494,-0.014704323473361501,6.938893903907228e-18,0.014704323473361501,0.014704323473361505,-3.469446951953614e-18
8,"[10, 10]",3,1.1069608346536208,0.5985025851136474,3,1.2500399066893897,0.06362097077637018,0.9094182671081508,2624.0154457779136,-0.018439493707930927,-0.01843949370793093,3.469446951953614e-18,0.01843949370793095,0.018439493707930934,1.734723475976807e-17
9,"[11, 11]",5,1.484577307938985,0.007351585409815474,5,1.9675889673231604,0.13592777309047563,0.8974712081494828,2867.7467229809845,-0.030245936596322215,-0.030245936596322194,-2.0816681711721685e-17,0.03024593659632222,0.030245936596322194,2.42861286636753e-17
10,"[12, 12]",5,2.097784281122667,0.1912995446057883,5,2.2003887935272672,0.18209011458435798,0.9501912404238502,3146.441937629017,-0.0443620823391956,-0.04436208233919563,2.7755575615628914e-17,0.04436208233919564,0.04436208233919561,2.7755575615628914e-17
11,"[13, 13]",6,2.2445695893342394,0.03589794657357175,6,2.365144124177248,0.0,0.9414305733755954,3445.3059677499114,-0.04393696126121319,-0.043936961261213166,-2.0816681711721685e-17,0.04112023080455813,0.04393696126121315,-0.0028167304566550228
12,"[14, 14]",7,2.200884847554469,0.10433752789907637,7,2.437156640558003,0.23566327911460289,0.9490739906626321,3734.6220190220047,-0.05265190743169366,-0.05265190743169359,-6.938893903907228e-17,0.0526519074316936,0.05265190743169358,2.0816681711721685e-17
13,"[15, 15]",6,2.258830122472962,0.10027255658916888,6,2.5283976835156547,0.0,0.9509234293578548,4024.278967098915,-0.0482053862859123,-0.04820538628591225,-4.85722573273506e-17,0.004851611532865667,0.04820538628591225,-0.04335377475304658
14,"[16, 16]",7,2.245393864780983,0.14893097539097097,7,2.5112075080326077,0.27009941200797916,1.037787787016859,4328.739862766932,-0.04951385549497493,-0.04951385549497493,0.0,0.049513855494974925,0.04951385549497493,-6.938893903907228e-18
15,"[17, 17]",7,2.245393864780983,0.0,7,2.511207508032607,0.0,1.037787787016859,4649.94392506592,-0.12594615446881924,-0.049513855494974925,-0.07643229897384432,0.0019403282222365537,0.049513855494974925,-0.04757352727273837
16,"[18, 18]",8,2.4255768851807167,0.0,8,2.6198710097744584,0.037864854592780606,0.9848381147672585,4977.279339380912,-0.15235034638629688,-0.05108177778090586,-0.10126856860539102,0.05108177778090533,0.051081777780905856,-5.273559366969494e-16
17,"[19, 19]",8,2.4264934303771266,0.0,8,2.651140085032952,0.024800210765765045,0.968886951883564,5272.493176740012,-0.07955464531524518,-0.051515998058704514,-0.02803864725654067,0.051515998058704535,0.051515998058704514,2.0816681711721685e-17
18,"[20, 20]",7,2.3422159160321887,0.0,7,2.6054244319554667,0.12855629605545396,1.0086515283880848,5576.570908715017,-0.09568239041685322,-0.052465020967492615,-0.04321736944936061,0.052465020967492636,0.052465020967492615,2.0816681711721685e-17
19,"[21, 21]",6,1.6251139478847376,0.0,6,2.074292926662931,0.44196919382794037,0.97959494635727,5882.939736275934,-0.15654010855923256,-0.06753101923921533,-0.08900908932001723,0.06753101923921523,0.06753101923921534,-1.1102230246251565e-16
