seed,iteration,full_exploitability,elapsed_s
0,0,2.373611,224.2
0,1,2.633800,595.5
0,2,1.290677,872.6
0,3,2.440289,1181.6
0,4,1.332081,1516.1
0,5,1.292596,1797.6
0,6,1.033126,2073.3
0,7,1.042634,2361.4
0,8,0.909418,2624.0
0,9,0.897471,2867.7
0,10,0.950191,3146.4
0,11,0.941431,3445.3
0,12,0.949074,3734.6
0,13,0.950923,4024.3
0,14,1.037788,4328.7
0,15,1.037788,4649.9
0,16,0.984838,4977.3
0,17,0.968887,5272.5
0,18,1.008652,5576.6
0,19,0.979595,5882.9
1,0,2.373611,215.6
1,1,2.607829,587.2
1,2,1.081459,854.8
1,3,1.838111,1157.8
1,4,1.134016,1451.2
1,5,1.841393,1775.6
1,6,0.906065,2084.3
1,7,1.084487,2351.7
1,8,0.936246,2648.6
1,9,1.059354,2945.7
1,10,0.945409,3243.2
1,11,0.835823,3540.1
1,12,0.914032,3837.1
1,13,0.978661,4160.8
1,14,0.883031,4479.1
1,15,0.973743,4798.1
1,16,0.926342,5102.8
1,17,0.884461,5423.6
1,18,0.850447,5746.1
1,19,0.837391,6067.4
2,0,2.373611,230.4
2,1,2.584082,598.8
2,2,1.069289,883.3
2,3,2.692496,1155.4
2,4,1.759071,1459.0
2,5,1.093739,1747.5
2,6,0.932986,2053.4
2,7,1.061084,2396.8
2,8,1.018275,2722.5
2,9,0.995780,3059.9
2,10,0.893108,3367.7
2,11,0.859957,3675.7
2,12,0.884869,3957.6
2,13,0.875996,4254.3
2,14,0.867188,4590.4
2,15,0.881459,4895.5
2,16,0.874295,5209.7
2,17,0.874295,5561.3
2,18,0.825320,5905.4
2,19,0.794310,6253.3
