iteration,population_sizes,support_size_p0,entropy_bits_p0,newest_member_mass_p0,support_size_p1,entropy_bits_p1,newest_member_mass_p1,full_exploitability,newest_value_p0,incumbent_value_p0,br_margin_p0,newest_value_p1,incumbent_value_p1,br_margin_p1
0,"[2, 2]",1,-0.0,nan,1,-0.0,nan,0.45833333333333326,,,,,,
1,"[3, 3]",1,-0.0,1.0,1,-0.0,1.0,0.16666666666666669,0.057,0.057,0.0,-0.057,-0.057,0.0
2,"[4, 4]",1,-0.0,1.0,1,-0.0,1.0,0.16666666666666669,0.05,0.05,0.0,-0.05,-0.05,0.0
3,"[5, 5]",3,1.2639238933035093,0.0,3,1.5157803013252094,0.2413555794279576,0.16069110603822573,-0.018127836712770184,-0.0017978884114408509,-0.016329948301329333,0.001797888411440872,0.0017978884114408465,2.5370330836160804e-17
4,"[6, 6]",3,1.3204233147704492,0.4529953221668931,3,1.245275597684385,0.6289881315566753,0.10236505031021542,-0.09823796589708768,-0.09823796589708768,0.0,0.09823796589708766,0.09823796589708768,-1.3877787807814457e-17
5,"[7, 7]",2,0.8694184750402127,0.7094594594594594,2,0.9439101706198099,0.0,0.11936936936936934,-0.07708783783783785,-0.07708783783783785,0.0,-0.07095945945945945,0.07708783783783783,-0.14804729729729726
6,"[8, 8]",3,1.3367029832353525,0.5805057748224691,3,1.2602163049853083,0.08257069378960424,0.08864429719387262,-0.08015555529812451,-0.08015555529812449,-2.7755575615628914e-17,0.08015555529812449,0.08015555529812449,0.0
7,"[9, 9]",3,1.5037635811192636,0.4223837165013633,3,1.1391328394466775,0.0,0.08903006942222638,-0.07348439142556791,-0.0734843914255679,-1.3877787807814457e-17,-0.02405810746987215,0.0734843914255679,-0.09754249889544005
8,"[10, 10]",4,1.3533723556406974,0.0,4,1.26185899760789,0.06419165165798911,0.05218435007272279,-0.082216571517845,-0.08088826886924946,-0.0013283026485955418,0.08088826886924944,0.08088826886924945,-1.3877787807814457e-17
9,"[11, 11]",4,1.3533723556406954,0.0,4,1.261858997607891,0.0,0.05218435007272271,-0.108591802227607,-0.08088826886924944,-0.027703533358357568,0.04620892623896372,0.08088826886924944,-0.034679342630285714
