alpha,seed,iteration,full_exploitability,entropy_p0_bits,entropy_p1_bits
1.0,0,0,0.458333,-0.000000,-0.000000
1.0,0,1,0.282597,0.375409,0.000000
1.0,0,2,0.150053,0.983123,1.558089
1.0,0,3,0.174405,1.551970,1.789377
1.0,0,4,0.114849,2.149953,2.032748
1.0,0,5,0.126275,2.383260,2.304345
1.0,0,6,0.098493,2.625081,2.486075
1.0,0,7,0.101157,2.820420,2.595690
1.0,0,8,0.108289,3.004730,2.740058
1.0,0,9,0.073751,3.196238,3.007307
1.0,0,10,0.072642,3.347927,3.149658
1.0,0,11,0.066073,3.488945,3.255759
1.0,0,12,0.072099,3.614039,3.386503
1.0,0,13,0.087997,3.720457,3.487951
1.0,0,14,0.054166,3.837710,3.638862
1.0,1,0,0.458333,-0.000000,-0.000000
1.0,1,1,0.166667,0.000000,0.000009
1.0,1,2,0.165005,1.350827,1.201100
1.0,1,3,0.181347,1.776990,1.386225
1.0,1,4,0.109982,2.138996,1.950477
1.0,1,5,0.112625,2.430067,2.237961
1.0,1,6,0.121500,2.687509,2.479256
1.0,1,7,0.123599,2.876947,2.714426
1.0,1,8,0.129243,3.047500,2.887918
1.0,1,9,0.131632,3.195788,3.043026
1.0,1,10,0.134559,3.336347,3.178789
1.0,1,11,0.171994,3.123919,3.321279
1.0,1,12,0.090905,3.549126,3.368527
1.0,1,13,0.071373,3.702455,3.472283
1.0,1,14,0.075686,3.789717,3.601588
1.0,2,0,0.458333,-0.000000,-0.000000
1.0,2,1,0.166666,0.000339,0.000381
1.0,2,2,0.117261,1.119851,1.374163
1.0,2,3,0.113962,1.482092,1.625943
1.0,2,4,0.133126,1.980200,1.998899
1.0,2,5,0.079625,2.467147,2.274863
1.0,2,6,0.092069,2.646771,2.529286
1.0,2,7,0.055980,2.896624,2.817016
1.0,2,8,0.051316,3.083090,3.030124
1.0,2,9,0.042861,3.239705,3.166830
1.0,2,10,0.053336,3.382128,3.288263
1.0,2,11,0.070839,3.516910,3.390324
1.0,2,12,0.077451,3.635753,3.488115
1.0,2,13,0.082812,3.744404,3.576937
1.0,2,14,0.086259,3.842127,3.654730
5.0,0,0,0.458333,-0.000000,-0.000000
5.0,0,1,0.291666,0.000058,0.000000
5.0,0,2,0.250000,0.000000,0.000000
5.0,0,3,0.144647,1.789683,1.825263
5.0,0,4,0.127222,1.423432,1.141101
5.0,0,5,0.091350,2.387812,2.363934
5.0,0,6,0.085627,2.510398,2.355121
5.0,0,7,0.083519,2.715233,2.573973
5.0,0,8,0.054077,3.095397,2.844514
5.0,0,9,0.058699,3.227923,2.980903
5.0,0,10,0.064864,3.361650,3.069094
5.0,0,11,0.046603,3.511845,3.270609
5.0,0,12,0.059682,3.628097,3.430529
5.0,0,13,0.056579,3.728532,3.525147
5.0,0,14,0.058469,3.830590,3.607080
5.0,1,0,0.458333,-0.000000,-0.000000
5.0,1,1,0.166667,0.000000,-0.000000
5.0,1,2,0.160126,1.395375,1.205670
5.0,1,3,0.182817,1.854398,1.444764
5.0,1,4,0.147440,1.314720,1.770915
5.0,1,5,0.120533,2.429699,2.141280
5.0,1,6,0.149157,2.575785,2.496885
5.0,1,7,0.094751,2.876187,2.707773
5.0,1,8,0.118323,3.027908,2.815350
5.0,1,9,0.093830,3.221048,2.962430
5.0,1,10,0.111898,3.360618,3.093052
5.0,1,11,0.117892,3.477803,3.187993
5.0,1,12,0.122621,3.584661,3.267424
5.0,1,13,0.115294,3.679141,3.423044
5.0,1,14,0.118345,3.774573,3.445716
5.0,2,0,0.458333,-0.000000,-0.000000
5.0,2,1,0.166667,0.000000,0.000000
5.0,2,2,0.199449,1.537219,1.537025
5.0,2,3,0.147418,1.396634,1.219410
5.0,2,4,0.242703,0.550978,0.369416
5.0,2,5,0.127580,2.528408,2.146291
5.0,2,6,0.104884,2.723712,2.489633
5.0,2,7,0.115763,2.915726,2.663945
5.0,2,8,0.125007,3.089871,2.787914
5.0,2,9,0.130633,3.230929,2.915779
5.0,2,10,0.132662,3.345489,3.030322
5.0,2,11,0.136270,3.471121,3.123272
5.0,2,12,0.138634,3.591017,3.206960
5.0,2,13,0.140473,3.693467,3.285293
5.0,2,14,0.142232,3.776532,3.354265
50.0,0,0,0.458333,-0.000000,-0.000000
50.0,0,1,0.291667,-0.000000,-0.000000
50.0,0,2,0.250000,0.000000,0.000000
50.0,0,3,0.165237,1.881460,1.905440
50.0,0,4,0.110487,2.228774,2.155746
50.0,0,5,0.073708,2.455531,2.380141
50.0,0,6,0.093572,2.410749,2.326469
50.0,0,7,0.090238,2.758660,2.807864
50.0,0,8,0.105161,2.520221,2.568791
50.0,0,9,0.080685,3.147279,3.138322
50.0,0,10,0.098683,3.252848,3.243980
50.0,0,11,0.115609,3.325838,3.381557
50.0,0,12,0.116747,3.506240,3.514415
50.0,0,13,0.127604,3.597973,3.606211
50.0,0,14,0.099582,3.803666,3.599089
50.0,1,0,0.458333,-0.000000,-0.000000
50.0,1,1,0.166667,-0.000000,-0.000000
50.0,1,2,0.131896,1.520699,1.395955
50.0,1,3,0.159846,1.850612,1.582095
50.0,1,4,0.110365,2.026688,2.156046
50.0,1,5,0.119872,2.418093,2.446547
50.0,1,6,0.108049,2.677571,2.610443
50.0,1,7,0.118185,2.858011,2.786388
50.0,1,8,0.125094,3.030981,2.941157
50.0,1,9,0.130570,3.226167,3.065548
50.0,1,10,0.167902,3.172602,3.257623
50.0,1,11,0.123471,3.411586,3.335069
50.0,1,12,0.103339,3.571072,3.450174
50.0,1,13,0.081226,3.717434,3.520090
50.0,1,14,0.079143,3.816125,3.601796
50.0,2,0,0.458333,-0.000000,-0.000000
50.0,2,1,0.166667,-0.000000,-0.000000
50.0,2,2,0.241520,1.542464,1.569497
50.0,2,3,0.166667,0.000000,0.000000
50.0,2,4,0.185202,2.066308,2.092607
50.0,2,5,0.125864,2.563972,2.389681
50.0,2,6,0.126258,2.772564,2.537547
50.0,2,7,0.144687,2.897730,2.675455
50.0,2,8,0.130563,3.103869,2.907217
50.0,2,9,0.140112,3.238178,3.000098
50.0,2,10,0.148365,3.245079,3.177820
50.0,2,11,0.126206,3.441363,3.316600
50.0,2,12,0.106798,3.595122,3.414280
50.0,2,13,0.113374,3.685972,3.475668
50.0,2,14,0.102673,3.804707,3.563489
500.0,0,0,0.458333,-0.000000,-0.000000
500.0,0,1,0.291667,-0.000000,-0.000000
500.0,0,2,0.250000,-0.000000,-0.000000
500.0,0,3,0.175027,1.919804,1.913449
500.0,0,4,0.101133,2.191701,2.168147
500.0,0,5,0.093415,2.458760,2.372780
500.0,0,6,0.058252,2.669299,2.671840
500.0,0,7,0.057084,2.897555,2.865010
500.0,0,8,0.077684,3.070317,3.057606
500.0,0,9,0.086193,3.190031,3.168673
500.0,0,10,0.085136,3.356555,3.331628
500.0,0,11,0.081195,3.483941,3.459760
500.0,0,12,0.080500,3.628509,3.480166
500.0,0,13,0.073913,3.729181,3.636628
500.0,0,14,0.083584,3.823475,3.704178
500.0,1,0,0.458333,-0.000000,-0.000000
500.0,1,1,0.166667,-0.000000,-0.000000
500.0,1,2,0.128208,1.547193,1.482346
500.0,1,3,0.141403,1.902401,1.857025
500.0,1,4,0.144767,2.278602,2.114916
500.0,1,5,0.166064,2.487072,2.378916
500.0,1,6,0.160773,2.632671,2.554630
500.0,1,7,0.166423,2.776546,2.768373
500.0,1,8,0.160639,2.802508,2.894101
500.0,1,9,0.159909,2.879474,3.069256
500.0,1,10,0.161589,3.056961,3.219171
500.0,1,11,0.162575,3.182559,3.388401
