meta_solver,seed,iteration,full_exploitability,runtime_s
uniform,0,0,0.458333,114.0
uniform,0,1,0.250000,114.0
uniform,0,2,0.166667,114.0
uniform,0,3,0.166667,114.0
uniform,0,4,0.166667,114.0
uniform,0,5,0.111111,114.0
uniform,0,6,0.119048,114.0
uniform,0,7,0.125000,114.0
uniform,0,8,0.120370,114.0
uniform,0,9,0.100000,114.0
uniform,0,10,0.098485,114.0
uniform,0,11,0.104167,114.0
uniform,0,12,0.102564,114.0
uniform,0,13,0.107143,114.0
uniform,0,14,0.111111,114.0
uniform,1,0,0.458333,114.7
uniform,1,1,0.187500,114.7
uniform,1,2,0.138889,114.7
uniform,1,3,0.125000,114.7
uniform,1,4,0.133333,114.7
uniform,1,5,0.097222,114.7
uniform,1,6,0.130952,114.7
uniform,1,7,0.135417,114.7
uniform,1,8,0.120370,114.7
uniform,1,9,0.116667,114.7
uniform,1,10,0.128788,114.7
uniform,1,11,0.125000,114.7
uniform,1,12,0.115385,114.7
uniform,1,13,0.107143,114.7
uniform,1,14,0.105556,114.7
uniform,2,0,0.458333,115.2
uniform,2,1,0.187500,115.2
uniform,2,2,0.125000,115.2
uniform,2,3,0.125000,115.2
uniform,2,4,0.133333,115.2
uniform,2,5,0.138889,115.2
uniform,2,6,0.119048,115.2
uniform,2,7,0.114583,115.2
uniform,2,8,0.120370,115.2
uniform,2,9,0.108333,115.2
uniform,2,10,0.106061,115.2
uniform,2,11,0.118056,115.2
uniform,2,12,0.121795,115.2
uniform,2,13,0.125000,115.2
uniform,2,14,0.116667,115.2
uniform,3,0,0.458333,113.6
uniform,3,1,0.270833,113.6
uniform,3,2,0.111111,113.6
uniform,3,3,0.104167,113.6
uniform,3,4,0.116667,113.6
uniform,3,5,0.083333,113.6
uniform,3,6,0.107143,113.6
uniform,3,7,0.114583,113.6
uniform,3,8,0.129630,113.6
uniform,3,9,0.133333,113.6
uniform,3,10,0.113636,113.6
uniform,3,11,0.125000,113.6
uniform,3,12,0.134615,113.6
uniform,3,13,0.142857,113.6
uniform,3,14,0.138889,113.6
uniform,4,0,0.458333,113.4
uniform,4,1,0.187500,113.4
uniform,4,2,0.111111,113.4
uniform,4,3,0.114583,113.4
uniform,4,4,0.116667,113.4
uniform,4,5,0.125000,113.4
uniform,4,6,0.130952,113.4
uniform,4,7,0.104167,113.4
uniform,4,8,0.092593,113.4
uniform,4,9,0.100000,113.4
uniform,4,10,0.098485,113.4
uniform,4,11,0.104167,113.4
uniform,4,12,0.102564,113.4
uniform,4,13,0.101190,113.4
uniform,4,14,0.105556,113.4
nash_lp,0,0,0.458333,112.8
nash_lp,0,1,0.291667,112.8
nash_lp,0,2,0.250000,112.8
nash_lp,0,3,0.152438,112.8
nash_lp,0,4,0.114423,112.8
nash_lp,0,5,0.114758,112.8
