meta_solver,empirical_game_size,solve_time_s
uniform,2,5.070e-06
nash_lp,2,3.967e-03
alpha_rank,2,1.586e-04
regret_matching,2,2.528e-01
projected_replicator,2,1.449e+00
uniform,5,3.239e-06
nash_lp,5,3.626e-03
alpha_rank,5,6.586e-04
regret_matching,5,2.483e-01
projected_replicator,5,1.482e+00
uniform,10,3.038e-06
nash_lp,10,3.760e-03
alpha_rank,10,8.391e-03
regret_matching,10,2.500e-01
projected_replicator,10,1.553e+00
uniform,20,3.651e-06
nash_lp,20,4.371e-03
alpha_rank,20,2.391e-01
regret_matching,20,2.521e-01
projected_replicator,20,1.547e+00
uniform,40,3.221e-06
nash_lp,40,7.457e-03
alpha_rank,40,4.346e+00
regret_matching,40,2.241e-01
projected_replicator,40,1.262e+00
uniform,80,2.870e-06
nash_lp,80,1.754e-02
regret_matching,80,2.612e-01
projected_replicator,80,1.408e+00
