game,flavour,k,cyclic_mass
transitive,full_matrix,9,0.000000
transitive,random_subset_mean,2,0.000000
transitive,random_subset_mean,3,0.000000
transitive,random_subset_mean,4,0.000000
transitive,random_subset_mean,5,0.000000
transitive,random_subset_mean,6,0.000000
transitive,random_subset_mean,7,0.000000
transitive,random_subset_mean,8,0.000000
transitive,random_subset_mean,9,0.000000
cyclic,full_matrix,9,1.000000
cyclic,random_subset_mean,2,0.000000
cyclic,random_subset_mean,3,0.413333
cyclic,random_subset_mean,4,0.646667
cyclic,random_subset_mean,5,0.767200
cyclic,random_subset_mean,6,0.856889
cyclic,random_subset_mean,7,0.922177
cyclic,random_subset_mean,8,0.964286
cyclic,random_subset_mean,9,1.000000
