game,diversity_coef,seed,iteration,full_exploitability,runtime_s
transitive,0.0,0,0,0.444444,318.5
transitive,0.0,0,1,0.009477,318.5
transitive,0.0,0,2,0.008784,318.5
transitive,0.0,0,3,0.008784,318.5
transitive,0.0,0,4,0.007828,318.5
transitive,0.0,0,5,0.007069,318.5
transitive,0.0,0,6,0.006519,318.5
transitive,0.0,0,7,0.006235,318.5
transitive,0.0,0,8,0.005418,318.5
transitive,0.0,0,9,0.005404,318.5
transitive,0.0,0,10,0.005404,318.5
transitive,0.0,0,11,0.004985,318.5
transitive,0.0,1,0,0.444444,307.0
transitive,0.0,1,1,0.011659,307.0
transitive,0.0,1,2,0.008477,307.0
transitive,0.0,1,3,0.007569,307.0
transitive,0.0,1,4,0.007672,307.0
transitive,0.0,1,5,0.007672,307.0
transitive,0.0,1,6,0.007666,307.0
transitive,0.0,1,7,0.005855,307.0
transitive,0.0,1,8,0.005855,307.0
transitive,0.0,1,9,0.005855,307.0
transitive,0.0,1,10,0.005779,307.0
transitive,0.0,1,11,0.006072,307.0
transitive,0.0,2,0,0.444444,313.1
transitive,0.0,2,1,0.013891,313.1
transitive,0.0,2,2,0.006525,313.1
transitive,0.0,2,3,0.005907,313.1
transitive,0.0,2,4,0.006141,313.1
transitive,0.0,2,5,0.006255,313.1
transitive,0.0,2,6,0.006648,313.1
transitive,0.0,2,7,0.006630,313.1
transitive,0.0,2,8,0.006630,313.1
transitive,0.0,2,9,0.006309,313.1
transitive,0.0,2,10,0.006058,313.1
transitive,0.0,2,11,0.006058,313.1
transitive,0.0,3,0,0.444444,299.2
transitive,0.0,3,1,0.014965,299.2
transitive,0.0,3,2,0.008485,299.2
transitive,0.0,3,3,0.008350,299.2
transitive,0.0,3,4,0.006002,299.2
transitive,0.0,3,5,0.006002,299.2
transitive,0.0,3,6,0.005355,299.2
transitive,0.0,3,7,0.005528,299.2
transitive,0.0,3,8,0.005528,299.2
transitive,0.0,3,9,0.005455,299.2
transitive,0.0,3,10,0.005455,299.2
transitive,0.0,3,11,0.005570,299.2
transitive,0.0,4,0,0.444444,309.6
transitive,0.0,4,1,0.012978,309.6
transitive,0.0,4,2,0.007127,309.6
transitive,0.0,4,3,0.006659,309.6
transitive,0.0,4,4,0.006659,309.6
transitive,0.0,4,5,0.006527,309.6
transitive,0.0,4,6,0.006525,309.6
transitive,0.0,4,7,0.006525,309.6
transitive,0.0,4,8,0.006525,309.6
transitive,0.0,4,9,0.006442,309.6
transitive,0.0,4,10,0.006466,309.6
transitive,0.0,4,11,0.006466,309.6
transitive,1.0,0,0,0.444444,729.7
transitive,1.0,0,1,0.009752,729.7
transitive,1.0,0,2,0.008979,729.7
transitive,1.0,0,3,0.009998,729.7
transitive,1.0,0,4,0.007167,729.7
transitive,1.0,0,5,0.006983,729.7
transitive,1.0,0,6,0.006499,729.7
transitive,1.0,0,7,0.006114,729.7
transitive,1.0,0,8,0.005389,729.7
transitive,1.0,0,9,0.005869,729.7
transitive,1.0,0,10,0.005083,729.7
transitive,1.0,0,11,0.005508,729.7
transitive,1.0,1,0,0.444444,733.4
transitive,1.0,1,1,0.011939,733.4
transitive,1.0,1,2,0.008860,733.4
transitive,1.0,1,3,0.007202,733.4
transitive,1.0,1,4,0.007693,733.4
transitive,1.0,1,5,0.006585,733.4
transitive,1.0,1,6,0.006923,733.4
transitive,1.0,1,7,0.006658,733.4
transitive,1.0,1,8,0.006190,733.4
transitive,1.0,1,9,0.006405,733.4
transitive,1.0,1,10,0.006405,733.4
transitive,1.0,1,11,0.006066,733.4
transitive,1.0,2,0,0.444444,730.8
transitive,1.0,2,1,0.014161,730.8
transitive,1.0,2,2,0.006352,730.8
transitive,1.0,2,3,0.005865,730.8
transitive,1.0,2,4,0.005934,730.8
transitive,1.0,2,5,0.005934,730.8
transitive,1.0,2,6,0.006588,730.8
transitive,1.0,2,7,0.006434,730.8
transitive,1.0,2,8,0.006434,730.8
transitive,1.0,2,9,0.006434,730.8
