game,variant,seed,budget_tag,final_full_exploitability,budget_iterations,budget_train_episodes,budget_eval_episodes_per_cell,wall_clock_s
cyclic,psro_nash,0,10x15k,0.091248,10,300000,1000,270.7
cyclic,psro_nash,1,10x15k,0.029962,10,300000,1000,247.3
cyclic,psro_nash,2,10x15k,0.052939,10,300000,1000,259.8
cyclic,psro_nash,3,10x15k,0.028909,10,300000,1000,268.2
cyclic,psro_nash,4,10x15k,0.045131,10,300000,1000,278.4
cyclic,psro_uniform,0,10x15k,0.338993,10,300000,1000,274.7
cyclic,psro_uniform,1,10x15k,0.344908,10,300000,1000,272.7
cyclic,psro_uniform,2,10x15k,0.364660,10,300000,1000,274.0
cyclic,psro_uniform,3,10x15k,0.383788,10,300000,1000,281.9
cyclic,psro_uniform,4,10x15k,0.289548,10,300000,1000,276.6
cyclic,psro_rm,0,10x15k,0.024862,10,300000,1000,273.4
cyclic,psro_rm,1,10x15k,0.114012,10,300000,1000,276.7
cyclic,psro_rm,2,10x15k,0.047838,10,300000,1000,291.0
cyclic,psro_rm,3,10x15k,0.048330,10,300000,1000,282.3
cyclic,psro_rm,4,10x15k,0.034310,10,300000,1000,273.0
cyclic,psro_alpharank,0,10x15k,0.118685,10,300000,1000,278.7
cyclic,psro_alpharank,1,10x15k,0.119769,10,300000,1000,238.4
cyclic,psro_alpharank,2,10x15k,0.218927,10,300000,1000,279.0
cyclic,psro_alpharank,3,10x15k,0.152505,10,300000,1000,278.7
cyclic,psro_alpharank,4,10x15k,0.109269,10,300000,1000,286.4
cyclic,psro_diverse,0,10x15k,0.089375,10,300000,1000,568.9
cyclic,psro_diverse,1,10x15k,0.073023,10,300000,1000,558.8
cyclic,psro_diverse,2,10x15k,0.060783,10,300000,1000,589.4
cyclic,psro_diverse,3,10x15k,0.083592,10,300000,1000,594.3
cyclic,psro_diverse,4,10x15k,0.027067,10,300000,1000,573.0
cyclic,last_k,0,10x15k,0.986185,10,300000,1000,279.4
cyclic,last_k,1,10x15k,0.972542,10,300000,1000,285.2
cyclic,last_k,2,10x15k,0.987264,10,300000,1000,290.4
cyclic,last_k,3,10x15k,0.986634,10,300000,1000,285.9
cyclic,last_k,4,10x15k,0.977043,10,300000,1000,291.5
cyclic,self_play,0,10x15k,0.990825,10,300000,1000,283.8
cyclic,self_play,1,10x15k,0.990310,10,300000,1000,293.8
cyclic,self_play,2,10x15k,0.989438,10,300000,1000,286.6
cyclic,self_play,3,10x15k,0.991699,10,300000,1000,292.4
cyclic,self_play,4,10x15k,0.990009,10,300000,1000,286.5
leduc,psro_nash,0,10x15k,1.435956,10,300000,1000,601.3
leduc,psro_nash,1,10x15k,1.325418,10,300000,1000,643.6
leduc,psro_nash,2,10x15k,1.441122,10,300000,1000,628.0
leduc,psro_nash,3,10x15k,1.343090,10,300000,1000,593.3
leduc,psro_nash,4,10x15k,1.511233,10,300000,1000,609.5
leduc,psro_uniform,0,10x15k,1.542340,10,300000,1000,626.9
leduc,psro_uniform,1,10x15k,1.578548,10,300000,1000,616.5
leduc,psro_uniform,2,10x15k,1.592083,10,300000,1000,621.7
leduc,psro_uniform,3,10x15k,1.541873,10,300000,1000,619.9
leduc,psro_uniform,4,10x15k,1.537754,10,300000,1000,615.6
leduc,psro_rm,0,10x15k,1.412762,10,300000,1000,593.8
leduc,psro_rm,1,10x15k,1.355531,10,300000,1000,588.7
leduc,psro_rm,2,10x15k,1.354631,10,300000,1000,625.6
leduc,psro_rm,3,10x15k,1.313825,10,300000,1000,609.2
leduc,psro_rm,4,10x15k,1.433523,10,300000,1000,637.4
leduc,psro_alpharank,0,10x15k,1.458459,10,300000,1000,626.0
leduc,psro_alpharank,1,10x15k,1.431755,10,300000,1000,608.5
leduc,psro_alpharank,2,10x15k,1.444078,10,300000,1000,625.6
leduc,psro_alpharank,3,10x15k,1.425669,10,300000,1000,588.8
leduc,psro_alpharank,4,10x15k,1.486100,10,300000,1000,618.5
leduc,psro_diverse,0,10x15k,1.392406,10,300000,1000,1306.1
leduc,psro_diverse,1,10x15k,1.306592,10,300000,1000,1311.8
leduc,psro_diverse,2,10x15k,1.427399,10,300000,1000,1363.7
leduc,psro_diverse,3,10x15k,1.441102,10,300000,1000,1402.4
leduc,psro_diverse,4,10x15k,1.335323,10,300000,1000,1339.2
leduc,last_k,0,10x15k,1.929358,10,300000,1000,614.0
leduc,last_k,1,10x15k,1.605637,10,300000,1000,624.0
leduc,last_k,2,10x15k,1.847413,10,300000,1000,614.2
leduc,last_k,3,10x15k,2.000416,10,300000,1000,617.5
leduc,last_k,4,10x15k,1.758486,10,300000,1000,617.7
leduc,self_play,0,10x15k,1.269934,10,300000,1000,663.5
leduc,self_play,1,10x15k,1.490306,10,300000,1000,627.6
leduc,self_play,2,10x15k,1.370508,10,300000,1000,617.9
leduc,self_play,3,10x15k,1.291684,10,300000,1000,622.3
leduc,self_play,4,10x15k,1.411523,10,300000,1000,645.7
cyclic,psro_nash,1,20x60k,0.010231,20,2400000,1000,1557.2
cyclic,psro_rm,1,20x60k,0.014704,20,2400000,1000,1616.4
cyclic,psro_nash,0,20x60k,0.011624,20,2400000,1000,1617.2
cyclic,psro_nash,3,20x60k,0.013814,20,2400000,1000,1650.6
cyclic,psro_uniform,4,20x60k,0.308222,20,2400000,1000,1654.4
cyclic,psro_rm,2,20x60k,0.016998,20,2400000,1000,1657.8
cyclic,psro_uniform,1,20x60k,0.320893,20,2400000,1000,1661.0
cyclic,psro_nash,2,20x60k,0.012200,20,2400000,1000,1665.2
cyclic,psro_rm,0,20x60k,0.010266,20,2400000,1000,1665.3
cyclic,psro_alpharank,0,20x60k,0.109746,20,2400000,1000,1668.0
cyclic,psro_rm,3,20x60k,0.013118,20,2400000,1000,1668.7
cyclic,psro_uniform,2,20x60k,0.327797,20,2400000,1000,1669.0
cyclic,psro_rm,4,20x60k,0.015810,20,2400000,1000,1675.9
cyclic,psro_nash,4,20x60k,0.013498,20,2400000,1000,1676.9
cyclic,psro_uniform,3,20x60k,0.346861,20,2400000,1000,1680.8
cyclic,psro_uniform,0,20x60k,0.257819,20,2400000,1000,1682.5
cyclic,psro_alpharank,1,20x60k,0.074122,20,2400000,1000,1723.2
cyclic,psro_alpharank,2,20x60k,0.104539,20,2400000,1000,1676.6
cyclic,psro_alpharank,3,20x60k,0.081152,20,2400000,1000,1679.7
cyclic,psro_alpharank,4,20x60k,0.083513,20,2400000,1000,1702.2
cyclic,last_k,2,20x60k,0.999781,20,2400000,1000,1710.8
cyclic,last_k,0,20x60k,0.999677,20,2400000,1000,1720.4
cyclic,last_k,4,20x60k,0.999724,20,2400000,1000,1720.8
cyclic,last_k,3,20x60k,0.999773,20,2400000,1000,1725.0
cyclic,last_k,1,20x60k,0.999788,20,2400000,1000,1736.9
cyclic,self_play,1,20x60k,0.999811,20,2400000,1000,1735.6
cyclic,self_play,0,20x60k,0.999888,20,2400000,1000,1752.2
cyclic,self_play,2,20x60k,0.999799,20,2400000,1000,1728.3
cyclic,self_play,4,20x60k,0.999845,20,2400000,1000,1749.8
cyclic,self_play,3,20x60k,0.999837,20,2400000,1000,1816.9
leduc,psro_uniform,1,20x60k,0.900748,20,2400000,1000,3701.9
leduc,psro_nash,3,20x60k,0.769240,20,2400000,1000,3779.3
leduc,psro_nash,0,20x60k,0.734234,20,2400000,1000,3849.5
leduc,psro_uniform,0,20x60k,0.863751,20,2400000,1000,3789.4
leduc,psro_uniform,2,20x60k,0.852376,20,2400000,1000,3777.1
leduc,psro_nash,4,20x60k,1.005190,20,2400000,1000,3867.1
leduc,psro_nash,2,20x60k,0.702066,20,2400000,1000,3888.5
leduc,psro_nash,1,20x60k,0.981595,20,2400000,1000,3981.6
cyclic,psro_diverse,2,20x60k,0.019261,20,2400000,1000,6653.6
cyclic,psro_diverse,3,20x60k,0.011211,20,2400000,1000,6725.9
cyclic,psro_diverse,4,20x60k,0.015831,20,2400000,1000,6756.3
cyclic,psro_diverse,1,20x60k,0.007156,20,2400000,1000,6909.0
cyclic,psro_diverse,0,20x60k,0.019533,20,2400000,1000,7002.2
leduc,psro_uniform,4,20x60k,0.890848,20,2400000,1000,3756.4
leduc,psro_uniform,3,20x60k,0.859099,20,2400000,1000,3794.6
leduc,psro_rm,0,20x60k,0.701589,20,2400000,1000,3911.8
leduc,psro_rm,3,20x60k,0.844539,20,2400000,1000,3654.4
leduc,psro_rm,2,20x60k,0.855744,20,2400000,1000,3707.3
leduc,psro_rm,1,20x60k,0.811556,20,2400000,1000,3761.9
