game,variant,budget_tag,mean_full_exploitability,std_full_exploitability,n_seeds
cyclic,last_k,10x15k,0.981934,0.006012,5
cyclic,last_k,20x60k,0.999749,0.000042,5
cyclic,psro_alpharank,10x15k,0.143831,0.040300,5
cyclic,psro_alpharank,20x60k,0.090614,0.013942,5
cyclic,psro_diverse,10x15k,0.066768,0.022114,5
cyclic,psro_diverse,20x60k,0.014598,0.004785,5
cyclic,psro_nash,10x15k,0.049638,0.022713,5
cyclic,psro_nash,20x60k,0.012273,0.001302,5
cyclic,psro_rm,10x15k,0.053870,0.031331,5
cyclic,psro_rm,20x60k,0.014179,0.002338,5
cyclic,psro_uniform,10x15k,0.344379,0.031623,5
cyclic,psro_uniform,20x60k,0.312318,0.029978,5
cyclic,self_play,10x15k,0.990456,0.000767,5
cyclic,self_play,20x60k,0.999836,0.000031,5
leduc,last_k,10x15k,1.828262,0.137590,5
leduc,last_k,20x60k,1.958700,0.853114,5
leduc,psro_alpharank,10x15k,1.449212,0.021594,5
leduc,psro_alpharank,20x60k,0.862522,0.047214,5
leduc,psro_diverse,10x15k,1.380564,0.051995,5
leduc,psro_diverse,20x60k,0.899162,0.105335,5
leduc,psro_nash,10x15k,1.411364,0.068574,5
leduc,psro_nash,20x60k,0.838465,0.128487,5
leduc,psro_rm,10x15k,1.374054,0.043319,5
leduc,psro_rm,20x60k,0.794708,0.057202,5
leduc,psro_uniform,10x15k,1.558520,0.022351,5
leduc,psro_uniform,20x60k,0.873364,0.018931,5
leduc,self_play,10x15k,1.366791,0.080365,5
leduc,self_play,20x60k,2.970818,1.257070,5
