game,warm_start,seed,final_full_exploitability,population_span_tv,budget_iterations,budget_train_episodes,wall_clock_s
cyclic,1,1,0.172659,0.574281,10,300000,216.7
cyclic,0,1,0.029962,0.320392,10,300000,218.6
cyclic,1,2,0.270191,0.565873,10,300000,234.7
cyclic,1,3,0.081874,0.621033,10,300000,235.1
cyclic,0,0,0.091248,0.460761,10,300000,238.4
cyclic,0,2,0.052939,0.428374,10,300000,239.2
cyclic,1,0,0.113630,0.628020,10,300000,240.4
cyclic,1,4,0.246521,0.627076,10,300000,246.9
cyclic,0,3,0.028909,0.494997,10,300000,248.7
cyclic,0,4,0.045131,0.385479,10,300000,249.1
leduc,0,1,1.325418,0.218426,10,300000,577.7
leduc,0,3,1.343090,0.196621,10,300000,580.2
leduc,0,0,1.394633,0.207349,10,300000,583.8
leduc,0,2,1.441122,0.214700,10,300000,594.8
leduc,1,0,1.057104,0.325646,10,300000,603.0
leduc,0,4,1.511233,0.210606,10,300000,603.3
leduc,1,1,0.911201,0.336842,10,300000,565.2
leduc,1,4,1.610367,0.275993,10,300000,546.8
leduc,1,2,0.911055,0.292542,10,300000,575.8
leduc,1,3,0.931975,0.299824,10,300000,560.8
